,city,state,citystate,lat,lon
94,Gaffney,SC,"Gaffney, SC",35.0717945,-81.64981949999999
95,Union,SC,"Union, SC",34.7154122,-81.623711
96,Lancaster,SC,"Lancaster, SC",34.7204257,-80.7709014
97,Greenwood,SC,"Greenwood, SC",34.1954001,-82.1617883
98,Rock Hill,SC,"Rock Hill, SC",34.9248667,-81.02507840000001
99,Hilton Head,SC,"Hilton Head, SC",32.216316,-80.752608
100,Aiken,SC,"Aiken, SC",33.5604168,-81.7195533
101,Charleston,SC,"Charleston, SC",32.7764749,-79.93105120000001
102,Spartanburg,SC,"Spartanburg, SC",34.9495672,-81.9320482
103,Vernal,UT,"Vernal, UT",40.4555157,-109.5287479
104,Logan,UT,"Logan, UT",41.7369803,-111.8338359
105,Park City,UT,"Park City, UT",40.6460622,-111.4979729
106,Hill AFB,UT,"Hill AFB, UT",41.1321102,-111.9939817
107,Brigham City,UT,"Brigham City, UT",41.5102129,-112.0155015
108,Salt Lake City,UT,"Salt Lake City, UT",40.7607793,-111.8910474
109,Heber City,UT,"Heber City, UT",40.5070087,-111.4133234
110,Roosevelt,UT,"Roosevelt, UT",40.299403,-109.9887605
111,Richfield,UT,"Richfield, UT",38.7724673,-112.0840943
112,American Fork,UT,"American Fork, UT",40.3768954,-111.7957645
113,Price,UT,"Price, UT",39.5994095,-110.8107148
114,Gunnison,UT,"Gunnison, UT",39.1552391,-111.8182582
115,Tooele,UT,"Tooele, UT",40.53077760000001,-112.29828
116,Nephi,UT,"Nephi, UT",39.7102336,-111.8363216
117,Moab,UT,"Moab, UT",38.5733155,-109.5498395
118,Morgan,UT,"Morgan, UT",41.03605599999999,-111.6768769
119,Provo,UT,"Provo, UT",40.2338438,-111.6585337
120,Castle Dale,UT,"Castle Dale, UT",39.212192,-111.019613
121,St George,UT,"St George, UT",37.0965278,-113.5684164
122,Marietta,GA,"Marietta, GA",33.95260200000001,-84.5499327
123,Brunswick,GA,"Brunswick, GA",31.1499528,-81.49148939999999
124,Nahunta,GA,"Nahunta, GA",31.20439,-81.98122599999999
125,Atlanta,GA,"Atlanta, GA",33.7489954,-84.3879824
126,Columbus,GA,"Columbus, GA",32.4609764,-84.9877094
127,Cumming,GA,"Cumming, GA",34.2073196,-84.14019259999999
128,Dublin,GA,"Dublin, GA",32.5404447,-82.90375399999999
129,Washington,GA,"Washington, GA",33.7367948,-82.7393089
130,Jonesboro,GA,"Jonesboro, GA",33.5215013,-84.3538128
131,Macon,GA,"Macon, GA",32.8406946,-83.6324022
132,Dunwoody,GA,"Dunwoody, GA",33.9462125,-84.3346473
133,Monroe,GA,"Monroe, GA",33.7948364,-83.713229
134,Eatonton,GA,"Eatonton, GA",33.3267997,-83.3884961
135,Eastman,GA,"Eastman, GA",32.1976729,-83.1776514
136,Hempstead,GA,"Hempstead, GA",33.6805647,-84.5108594
137,Canton,GA,"Canton, GA",34.2367621,-84.4907621
138,Alpharetta,GA,"Alpharetta, GA",34.0753762,-84.2940899
139,Fayetteville,GA,"Fayetteville, GA",33.4487257,-84.4549262
140,Barnesville,GA,"Barnesville, GA",33.0545709,-84.15574950000001
141,Augusta,GA,"Augusta, GA",33.4734978,-82.0105148
142,Griffin,GA,"Griffin, GA",33.2467807,-84.2640904
143,Savannah,GA,"Savannah, GA",32.0808989,-81.091203
144,Calhoun,GA,"Calhoun, GA",34.502587,-84.9510542
145,Lagrange,GA,"Lagrange, GA",33.0362218,-85.0322444
146,Newnan,GA,"Newnan, GA",33.3806716,-84.79965729999999
147,Woodstock,GA,"Woodstock, GA",34.1014873,-84.5193754
148,Hinesville,GA,"Hinesville, GA",31.846877,-81.5959453
149,Cartersville,GA,"Cartersville, GA",34.1650972,-84.7999382
150,Mcdonough,GA,"Mcdonough, GA",33.4473361,-84.1468616
151,Lafayette,GA,"Lafayette, GA",34.7048022,-85.2818998
152,Baxley,GA,"Baxley, GA",31.7782514,-82.3484618
153,Albany,GA,"Albany, GA",31.5785074,-84.15574099999999
154,Forsyth,GA,"Forsyth, GA",33.0342974,-83.938242
155,Lawrenceville,GA,"Lawrenceville, GA",33.9562149,-83.9879625
156,Milledgeville,GA,"Milledgeville, GA",33.0801429,-83.2320991
157,Jesup,GA,"Jesup, GA",31.6074365,-81.8853924
158,Carrollton,GA,"Carrollton, GA",33.5801103,-85.0766113
159,Swainsboro,GA,"Swainsboro, GA",32.5973856,-82.33373759999999
160,Athens,GA,"Athens, GA",33.9519347,-83.357567
161,Statesboro,GA,"Statesboro, GA",32.4487876,-81.7831674
162,Fitzgerald,GA,"Fitzgerald, GA",31.7149082,-83.25265449999999
163,Mccomb,MS,"Mccomb, MS",31.2437872,-90.4531535
164,Tupelo,MS,"Tupelo, MS",34.2576066,-88.7033859
165,Starkville,MS,"Starkville, MS",33.4503998,-88.81838719999999
166,Ridgeland,MS,"Ridgeland, MS",32.4284761,-90.1323087
167,Fayette,MS,"Fayette, MS",31.7115534,-91.0606607
168,Oxford,MS,"Oxford, MS",34.3664951,-89.5192484
169,Carthage,MS,"Carthage, MS",32.7326356,-89.5361825
170,Corinth,MS,"Corinth, MS",34.9342548,-88.5222702
171,Holly Springs,MS,"Holly Springs, MS",34.76759670000001,-89.44868939999999
172,Biloxi,MS,"Biloxi, MS",30.3960318,-88.88530779999999
173,Greenville,MS,"Greenville, MS",33.399661,-91.0377029
174,Meridian,MS,"Meridian, MS",32.3643098,-88.703656
175,West Point,MS,"West Point, MS",33.6076186,-88.6503254
176,Pascagoula,MS,"Pascagoula, MS",30.3657552,-88.5561272
177,Cleveland,MS,"Cleveland, MS",33.7440023,-90.7248187
178,Picayune,MS,"Picayune, MS",30.5254692,-89.67950839999999
179,Senatobia,MS,"Senatobia, MS",34.6176032,-89.96870109999999
180,Hattiesburg,MS,"Hattiesburg, MS",31.3271189,-89.29033919999999
181,Jackson,MS,"Jackson, MS",32.2987573,-90.1848103
182,Lewistown,MT,"Lewistown, MT",47.0624732,-109.428238
183,Butte,MT,"Butte, MT",46.0038232,-112.5347775
184,Bigfork,MT,"Bigfork, MT",48.0632864,-114.0726134
185,Pablo,MT,"Pablo, MT",47.6013252,-114.1223361
186,Kalispell,MT,"Kalispell, MT",48.1919889,-114.316813
187,Havre,MT,"Havre, MT",48.549999,-109.6840887
188,Polson,MT,"Polson, MT",47.69320039999999,-114.1631275
189,Sidney,MT,"Sidney, MT",47.7166836,-104.1563253
190,Columbia Falls,MT,"Columbia Falls, MT",48.3799643,-114.1804038
191,Helena,MT,"Helena, MT",46.5891452,-112.0391057
192,Choteau,MT,"Choteau, MT",47.8124531,-112.1836301
193,Bozeman,MT,"Bozeman, MT",45.6769979,-111.0429339
194,Shelby,MT,"Shelby, MT",48.5066603,-111.8561447
195,Missoula,MT,"Missoula, MT",46.8721284,-113.9940314
196,Stevensville,MT,"Stevensville, MT",46.50992249999999,-114.0931588
197,Billings,MT,"Billings, MT",45.7832856,-108.5006904
198,Wolf Point,MT,"Wolf Point, MT",48.0905736,-105.6405566
199,Great Falls,MT,"Great Falls, MT",47.5052849,-111.3007715
200,Boonville,MO,"Boonville, MO",38.9736392,-92.74324179999999
201,Monett,MO,"Monett, MO",36.9289502,-93.92770709999999
202,Marshfield,MO,"Marshfield, MO",37.338658,-92.9071209
203,Hannibal,MO,"Hannibal, MO",39.7083789,-91.35848159999999
204,Richland,MO,"Richland, MO",37.8569838,-92.4043396
205,Bethany,MO,"Bethany, MO",40.2683344,-94.0282861
206,Levasy,MO,"Levasy, MO",39.1355627,-94.1330014
207,Jefferson City,MO,"Jefferson City, MO",38.57670170000001,-92.1735164
208,Chillicothe,MO,"Chillicothe, MO",39.7952946,-93.5524358
209,Harrisonville,MO,"Harrisonville, MO",38.6533445,-94.3488372
210,Camdenton,MO,"Camdenton, MO",38.0080902,-92.7446289
211,Macon,MO,"Macon, MO",39.74225610000001,-92.4726859
212,Joplin,MO,"Joplin, MO",37.08422710000001,-94.51328099999999
213,Moberly,MO,"Moberly, MO",39.4183689,-92.43823669999999
214,Independence,MO,"Independence, MO",39.0911161,-94.41550679999999
215,Branson,MO,"Branson, MO",36.6436731,-93.21851439999999
216,Dexter,MO,"Dexter, MO",36.7958866,-89.9578688
217,Carthage,MO,"Carthage, MO",37.176447,-94.31022279999999
218,Neosho,MO,"Neosho, MO",36.8689554,-94.36799599999999
219,Columbia,MO,"Columbia, MO",38.9517053,-92.3340724
220,Rolla,MO,"Rolla, MO",37.948544,-91.7715303
221,St Louis,MO,"St Louis, MO",38.6270025,-90.19940419999999
222,Bolivar,MO,"Bolivar, MO",37.6144838,-93.4104749
223,Marshall,MO,"Marshall, MO",39.1230777,-93.1968704
224,Lees Summit,MO,"Lees Summit, MO",38.9108408,-94.3821724
225,Cape Girardeau,MO,"Cape Girardeau, MO",37.3058839,-89.51814759999999
226,Mexico,MO,"Mexico, MO",39.1730652,-91.887271
227,Kirksville,MO,"Kirksville, MO",40.19475389999999,-92.5832496
228,Poplar Bluff,MO,"Poplar Bluff, MO",36.7569994,-90.392888
229,Fort Leonard Wood,MO,"Fort Leonard Wood, MO",37.7944939,-92.13484129999999
230,Cuba,MO,"Cuba, MO",38.0628225,-91.40348329999999
231,Kansas City,MO,"Kansas City, MO",39.0997265,-94.5785667
232,Kennett,MO,"Kennett, MO",36.2361762,-90.0556493
233,Nevada,MO,"Nevada, MO",37.83920519999999,-94.3546719
234,Waynesville,MO,"Waynesville, MO",37.8286516,-92.2007227
235,St. Joseph,MO,"St. Joseph, MO",39.7674578,-94.84668099999999
236,Marshfield,MA,"Marshfield, MA",42.0917453,-70.7055871
237,Wakefield,MA,"Wakefield, MA",42.5039395,-71.0723391
238,Stoughton,MA,"Stoughton, MA",42.1229099,-71.10920120000002
239,Marblehead,MA,"Marblehead, MA",42.49995819999999,-70.8578024
240,Hatfield,MA,"Hatfield, MA",42.3732554,-72.5963431
241,Vineyard Haven,MA,"Vineyard Haven, MA",41.4542786,-70.6036395
242,Saugus,MA,"Saugus, MA",42.4651421,-71.0110473
243,Swampscott,MA,"Swampscott, MA",42.47094370000001,-70.91755619999999
244,Winchester,MA,"Winchester, MA",42.452303,-71.1369959
245,Attleboro,MA,"Attleboro, MA",41.94454409999999,-71.2856082
246,Foxboro,MA,"Foxboro, MA",42.0653812,-71.2478251
247,Melrose,MA,"Melrose, MA",42.4584292,-71.0661633
248,Scituate,MA,"Scituate, MA",42.195929,-70.7258633
249,Wellesley,MA,"Wellesley, MA",42.296797,-71.29238769999999
250,Athol,MA,"Athol, MA",42.59593290000001,-72.2267383
251,Mansfield,MA,"Mansfield, MA",42.03345650000001,-71.2190578
252,Southborough,MA,"Southborough, MA",42.3056501,-71.5245087
253,Rockland,MA,"Rockland, MA",42.1306563,-70.9161551
254,Fall River,MA,"Fall River, MA",41.7014912,-71.1550451
255,Quincy,MA,"Quincy, MA",42.2528772,-71.0022705
256,Woburn,MA,"Woburn, MA",42.4792618,-71.1522765
257,Newton,MA,"Newton, MA",42.3370413,-71.20922139999999
258,Somerville,MA,"Somerville, MA",42.3875968,-71.0994968
259,East Longmeadow,MA,"East Longmeadow, MA",42.0645396,-72.5125863
260,Hamlin,MA,"Hamlin, MA",38.444918,-122.716249
261,Worcester,MA,"Worcester, MA",42.2625932,-71.8022934
262,Pittsfield,MA,"Pittsfield, MA",42.4500845,-73.2453824
263,Lexington,MA,"Lexington, MA",42.4430372,-71.2289641
264,Milford,MA,"Milford, MA",42.1398577,-71.5163049
265,New Bedford,MA,"New Bedford, MA",41.6362152,-70.93420499999999
266,Gloucester,MA,"Gloucester, MA",42.6159285,-70.6619888
267,North Borough,MA,"North Borough, MA",42.3195556,-71.6411997
268,Portland,MA,"Portland, MA",43.6590993,-70.2568189
269,Lawrence,MA,"Lawrence, MA",42.7070354,-71.1631137
270,Brockton,MA,"Brockton, MA",42.0834335,-71.0183787
271,Westford,MA,"Westford, MA",42.5792583,-71.4378411
272,Natick,MA,"Natick, MA",42.2775281,-71.3468091
273,Carlisle,MA,"Carlisle, MA",42.5292597,-71.3495046
274,Andover,MA,"Andover, MA",42.6583356,-71.1367953
275,Holden,MA,"Holden, MA",42.3517585,-71.8634062
276,Hyannis,MA,"Hyannis, MA",41.6524911,-70.2881124
277,Medford,MA,"Medford, MA",42.4184296,-71.1061639
278,Marlborough,MA,"Marlborough, MA",42.3459271,-71.5522874
279,Framingham,MA,"Framingham, MA",42.279286,-71.4161565
280,Northampton,MA,"Northampton, MA",42.3250896,-72.64120129999999
281,Needham,MA,"Needham, MA",42.2809285,-71.23775479999999
282,Dorchester,MA,"Dorchester, MA",42.30163049999999,-71.067605
283,Boston,MA,"Boston, MA",42.3600825,-71.0588801
284,North Andover,MA,"North Andover, MA",42.69870239999999,-71.1350575
285,Edgartown,MA,"Edgartown, MA",41.3890052,-70.5133599
286,Norwell,MA,"Norwell, MA",42.1615157,-70.7927832
287,Lynn,MA,"Lynn, MA",42.46676300000001,-70.9494938
288,Salem,MA,"Salem, MA",42.51954,-70.8967155
289,Chatham,MA,"Chatham, MA",41.6820897,-69.95976639999999
290,Watertown,MA,"Watertown, MA",42.3709299,-71.1828321
291,Norton,MA,"Norton, MA",41.9667703,-71.1869963
292,Lowell,MA,"Lowell, MA",42.6334247,-71.31617179999999
293,Lancaster,MA,"Lancaster, MA",42.4556452,-71.6731242
294,Haverhill,MA,"Haverhill, MA",42.7762015,-71.0772796
295,Weymouth,MA,"Weymouth, MA",42.2180724,-70.94103559999999
296,Duxbury,MA,"Duxbury, MA",42.0417525,-70.6722767
297,Malden,MA,"Malden, MA",42.4250964,-71.066163
298,Concord,MA,"Concord, MA",42.4603719,-71.3489484
299,Springfield,MA,"Springfield, MA",42.1014831,-72.589811
300,Fitchburg,MA,"Fitchburg, MA",42.5834228,-71.8022955
301,Littleton,MA,"Littleton, MA",42.5372893,-71.5128022
302,Tewksbury,MA,"Tewksbury, MA",42.6106478,-71.23422479999999
303,Clinton,MA,"Clinton, MA",42.41676349999999,-71.68290809999999
304,Greenfield,MA,"Greenfield, MA",42.587915,-72.5994104
305,Taunton,MA,"Taunton, MA",41.900101,-71.0897674
306,North Adams,MA,"North Adams, MA",42.70091499999999,-73.1087148
307,Sharon,MA,"Sharon, MA",42.1236499,-71.1786237
308,Newburyport,MA,"Newburyport, MA",42.8125913,-70.87727509999999
309,Nantucket,MA,"Nantucket, MA",41.2834704,-70.099451
310,Ketchikan,AK,"Ketchikan, AK",55.34222219999999,-131.6461112
311,Kenai,AK,"Kenai, AK",60.55444439999999,-151.2583333
312,Homer,AK,"Homer, AK",59.64250000000001,-151.5483333
313,Haines,AK,"Haines, AK",59.2358333,-135.445
314,Wasilla,AK,"Wasilla, AK",61.5813889,-149.4394444
315,Kodiak,AK,"Kodiak, AK",57.79000000000001,-152.4072221
316,Fairbanks,AK,"Fairbanks, AK",64.8377778,-147.7163888
317,Petersburg,AK,"Petersburg, AK",56.8125,-132.9555556
318,Anchorage,AK,"Anchorage, AK",61.2180556,-149.9002778
319,Juneau,AK,"Juneau, AK",58.3019444,-134.4197221
320,Sitka,AK,"Sitka, AK",57.0530556,-135.33
321,Russellville,KY,"Russellville, KY",36.8453199,-86.887219
322,Campbellsville,KY,"Campbellsville, KY",37.3433974,-85.3419069
323,Prestonburg,KY,"Prestonburg, KY",37.6656527,-82.7715486
324,Hopkinsville,KY,"Hopkinsville, KY",36.8656008,-87.4886186
325,Owensboro,KY,"Owensboro, KY",37.7719074,-87.1111676
326,Henderson,KY,"Henderson, KY",37.8361538,-87.59001339999999
327,Bowling Green,KY,"Bowling Green, KY",36.9685219,-86.4808043
328,Elizabethtown,KY,"Elizabethtown, KY",37.7030646,-85.8649408
329,La Grange,KY,"La Grange, KY",38.4075666,-85.37884679999999
330,Glasgow,KY,"Glasgow, KY",36.9958839,-85.91192149999999
331,Covington,KY,"Covington, KY",39.0836712,-84.5085536
332,Lexington,KY,"Lexington, KY",38.0405837,-84.5037164
333,Ashland,KY,"Ashland, KY",38.4784144,-82.63793869999999
334,Benton,KY,"Benton, KY",36.85727809999999,-88.350315
335,Paducah,KY,"Paducah, KY",37.0833893,-88.6000478
336,Evansville,KY,"Evansville, KY",37.9715592,-87.5710898
337,Danville,KY,"Danville, KY",37.6456329,-84.77217019999999
338,Maysville,KY,"Maysville, KY",38.6411854,-83.744365
339,Paintsville,KY,"Paintsville, KY",37.8145384,-82.8071054
340,Leitchfield,KY,"Leitchfield, KY",37.4800544,-86.2938637
341,Bardstown,KY,"Bardstown, KY",37.8092279,-85.46690249999999
342,Louisville,KY,"Louisville, KY",38.2526647,-85.7584557
343,Kansas City,KY,"Kansas City, KY",39.1669195,-94.4736188
344,Lebanon,KY,"Lebanon, KY",37.5697868,-85.2527381
345,Hartselle,AL,"Hartselle, AL",34.4434282,-86.9352842
346,Brewton,AL,"Brewton, AL",31.1051779,-87.0721918
347,Birmingham,AL,"Birmingham, AL",33.5206608,-86.80248999999999
348,Montgomery,AL,"Montgomery, AL",32.3668052,-86.2999689
349,Tuscaloosa,AL,"Tuscaloosa, AL",33.2098407,-87.56917349999999
350,Opelika,AL,"Opelika, AL",32.6454116,-85.3782795
351,Atmore,AL,"Atmore, AL",31.0237921,-87.4938708
352,.DS Store,AL,".DS Store, AL",33.039383,-116.870415
353,Clanton,AL,"Clanton, AL",32.8387371,-86.6294262
354,Demopolis,AL,"Demopolis, AL",32.5176361,-87.83640199999999
355,Enterprise,AL,"Enterprise, AL",31.3151708,-85.85521609999999
356,Scottsboro,AL,"Scottsboro, AL",34.6723069,-86.03414629999999
357,Decatur,AL,"Decatur, AL",34.6059253,-86.9833417
358,Huntsville,AL,"Huntsville, AL",34.7303688,-86.5861037
359,Anniston,AL,"Anniston, AL",33.6598257,-85.8316318
360,Livingston,AL,"Livingston, AL",32.5843025,-88.1872475
361,Talladega,AL,"Talladega, AL",33.4359416,-86.1058048
362,Centre,AL,"Centre, AL",34.1520406,-85.67885310000001
363,Dothan,AL,"Dothan, AL",31.2232313,-85.3904888
364,Cullman,AL,"Cullman, AL",34.1748208,-86.8436124
365,Florence,AL,"Florence, AL",34.79981,-87.677251
366,Gadsden,AL,"Gadsden, AL",34.014264,-86.0066386
367,Fort Payne,AL,"Fort Payne, AL",34.4442547,-85.7196893
368,Mobile,AL,"Mobile, AL",30.6953657,-88.0398912
369,Lanett,AL,"Lanett, AL",32.86873910000001,-85.1904971
370,Walker County,AL,"Walker County, AL",33.8563605,-87.30161319999999
371,Jasper,AL,"Jasper, AL",33.8312185,-87.2775053
372,Athens,AL,"Athens, AL",34.8028661,-86.9716741
373,West Lebanon,NH,"West Lebanon, NH",43.6446508,-72.31060649999999
374,Bedford,NH,"Bedford, NH",42.9463291,-71.51320079999999
375,Peterborough,NH,"Peterborough, NH",42.8706048,-71.95167459999999
376,Milford,NH,"Milford, NH",42.8353619,-71.6489836
377,Merrimack,NH,"Merrimack, NH",42.8678693,-71.49483219999999
378,Hollis,NH,"Hollis, NH",42.74251659999999,-71.58953439999999
379,Exeter,NH,"Exeter, NH",42.9814292,-70.9477546
380,Portsmouth,NH,"Portsmouth, NH",43.0717552,-70.7625532
381,Hampton,NH,"Hampton, NH",42.93759319999999,-70.83892190000002
382,Laconia,NH,"Laconia, NH",43.5278546,-71.4703509
383,North Sutton,NH,"North Sutton, NH",43.3639646,-71.93952689999999
384,Dover,NH,"Dover, NH",43.1978624,-70.8736698
385,Concord,NH,"Concord, NH",43.2081366,-71.5375718
386,Manchester,NH,"Manchester, NH",42.9956397,-71.4547891
387,North Conway,NH,"North Conway, NH",44.0536805,-71.1284041
388,Keene,NH,"Keene, NH",42.933692,-72.2781409
389,St Cloud,MN,"St Cloud, MN",45.5579451,-94.16324039999999
390,Luverne,MN,"Luverne, MN",43.6555249,-96.2025289
391,Twin Cities,MN,"Twin Cities, MN",44.9374831,-93.20099979999999
392,Winona,MN,"Winona, MN",44.0553908,-91.6663523
393,Ortonville,MN,"Ortonville, MN",45.3047822,-96.4450624
394,Loretto-Medina,MN,"Loretto-Medina, MN",45.0546855,-93.6355165
395,Alpena,MN,"Alpena, MN",47.8776394,-94.9096826
396,Apple Valley,MN,"Apple Valley, MN",44.7319094,-93.21772000000001
397,Frazee,MN,"Frazee, MN",46.72801459999999,-95.7008776
398,Virginia,MN,"Virginia, MN",47.5232596,-92.53657129999999
399,Owatonna,MN,"Owatonna, MN",44.0855572,-93.2259349
400,Worthington,MN,"Worthington, MN",43.6210985,-95.59414360000001
401,Farmington,MN,"Farmington, MN",44.6402434,-93.1435497
402,Red Wing,MN,"Red Wing, MN",44.5660691,-92.5369563
403,Allegan,MN,"Allegan, MN",42.5291989,-85.8553031
404,Tracy,MN,"Tracy, MN",44.2319444,-95.6227778
405,Brainerd,MN,"Brainerd, MN",46.3526733,-94.2020084
406,Minneapolis,MN,"Minneapolis, MN",44.977753,-93.2650108
407,Pipestone,MN,"Pipestone, MN",43.9985815,-96.3128117
408,Big Lake,MN,"Big Lake, MN",45.3331421,-93.7335062
409,Duluth,MN,"Duluth, MN",46.78667189999999,-92.1004852
410,St. Paul,MN,"St. Paul, MN",44.9537029,-93.0899578
411,International Falls,MN,"International Falls, MN",48.6023149,-93.4040679
412,Tower,MN,"Tower, MN",47.8054749,-92.2746054
413,De Lano,MN,"De Lano, MN",45.0419073,-93.7891331
414,Caledonia,MN,"Caledonia, MN",43.6346913,-91.4968076
415,Glencoe,MN,"Glencoe, MN",44.7690437,-94.15175239999999
